0,1,2,3,4,5,6,7,8,9,10
62.0,66.0,69.0,64.0,64.0,19.0,11.0,12.0,8.0,12.0,0.0
65.0,65.0,71.0,62.0,64.0,17.0,13.0,15.0,12.0,16.0,0.0
64.0,66.0,71.0,62.0,62.0,12.0,19.0,20.0,15.0,23.0,0.0
62.0,67.0,69.0,64.0,63.0,15.0,12.0,18.0,20.0,17.0,0.0
62.0,65.0,68.0,67.0,64.0,16.0,13.0,10.0,19.0,10.0,0.0
61.0,64.0,68.0,65.0,63.0,16.0,16.0,20.0,13.0,18.0,0.0
62.0,65.0,68.0,66.0,62.0,15.0,19.0,20.0,17.0,16.0,0.0
62.0,67.0,69.0,63.0,62.0,9.0,15.0,22.0,19.0,25.0,0.0
62.0,67.0,69.0,62.0,65.0,16.0,19.0,21.0,12.0,12.0,0.0
63.0,64.0,71.0,63.0,65.0,18.0,15.0,23.0,12.0,14.0,0.0
62.0,66.0,70.0,67.0,62.0,11.0,16.0,23.0,17.0,17.0,0.0
61.0,64.0,68.0,66.0,65.0,23.0,19.0,16.0,14.0,16.0,0.0
60.0,67.0,67.0,64.0,64.0,14.0,13.0,20.0,20.0,19.0,0.0
63.0,66.0,70.0,65.0,64.0,16.0,18.0,17.0,18.0,22.0,0.0
62.0,65.0,67.0,63.0,62.0,16.0,17.0,21.0,17.0,17.0,0.0
63.0,65.0,70.0,63.0,65.0,18.0,17.0,19.0,16.0,13.0,0.0
61.0,68.0,70.0,62.0,64.0,14.0,16.0,12.0,15.0,15.0,0.0
64.0,66.0,67.0,62.0,62.0,7.0,16.0,14.0,14.0,13.0,0.0
64.0,65.0,67.0,64.0,64.0,14.0,11.0,18.0,13.0,17.0,0.0
63.0,65.0,67.0,63.0,63.0,15.0,20.0,16.0,18.0,18.0,0.0
63.0,64.0,70.0,62.0,62.0,19.0,25.0,15.0,15.0,11.0,0.0
64.0,65.0,71.0,63.0,65.0,14.0,21.0,23.0,16.0,19.0,0.0
66.0,65.0,70.0,64.0,63.0,15.0,16.0,18.0,16.0,11.0,0.0
61.0,64.0,68.0,64.0,63.0,17.0,15.0,19.0,18.0,12.0,0.0
62.0,68.0,67.0,64.0,63.0,14.0,10.0,17.0,14.0,13.0,0.0
63.0,67.0,68.0,64.0,65.0,15.0,25.0,15.0,16.0,19.0,0.0
65.0,66.0,68.0,64.0,65.0,13.0,12.0,20.0,9.0,18.0,0.0
64.0,65.0,67.0,62.0,65.0,15.0,21.0,16.0,16.0,11.0,0.0
63.0,65.0,68.0,69.0,63.0,13.0,12.0,21.0,14.0,16.0,0.0
61.0,64.0,67.0,62.0,62.0,16.0,20.0,17.0,18.0,12.0,0.0
61.0,65.0,68.0,62.0,66.0,21.0,11.0,18.0,17.0,14.0,0.0
61.0,64.0,70.0,64.0,65.0,12.0,17.0,20.0,13.0,14.0,0.0
61.0,64.0,70.0,62.0,64.0,18.0,24.0,20.0,17.0,15.0,0.0
61.0,65.0,67.0,64.0,64.0,12.0,11.0,17.0,17.0,20.0,0.0
62.0,65.0,67.0,66.0,62.0,18.0,17.0,14.0,13.0,12.0,0.0
62.0,64.0,68.0,63.0,65.0,18.0,13.0,14.0,14.0,18.0,0.0
63.0,64.0,70.0,63.0,62.0,20.0,13.0,15.0,13.0,16.0,0.0
63.0,64.0,67.0,63.0,63.0,11.0,17.0,22.0,15.0,13.0,0.0
61.0,64.0,67.0,62.0,62.0,12.0,14.0,21.0,9.0,15.0,0.0
62.0,64.0,67.0,64.0,64.0,12.0,15.0,13.0,19.0,14.0,0.0
63.0,64.0,69.0,63.0,65.0,14.0,12.0,15.0,15.0,15.0,0.0
61.0,67.0,68.0,69.0,66.0,14.0,17.0,17.0,18.0,15.0,0.0
63.0,67.0,68.0,64.0,63.0,17.0,15.0,12.0,10.0,12.0,0.0
64.0,67.0,67.0,64.0,63.0,10.0,13.0,12.0,16.0,16.0,0.0
61.0,66.0,71.0,65.0,63.0,15.0,15.0,17.0,14.0,18.0,0.0
62.0,65.0,68.0,63.0,62.0,15.0,16.0,20.0,20.0,16.0,0.0
65.0,67.0,69.0,64.0,64.0,17.0,19.0,17.0,12.0,8.0,0.0
62.0,65.0,69.0,63.0,64.0,13.0,16.0,13.0,20.0,17.0,0.0
61.0,67.0,67.0,63.0,63.0,24.0,17.0,16.0,12.0,16.0,0.0
63.0,66.0,68.0,63.0,68.0,22.0,19.0,17.0,14.0,12.0,0.0
61.0,64.0,68.0,63.0,65.0,20.0,15.0,18.0,15.0,18.0,0.0
61.0,66.0,69.0,63.0,64.0,16.0,17.0,18.0,23.0,14.0,0.0
62.0,64.0,68.0,63.0,64.0,10.0,17.0,16.0,16.0,13.0,0.0
66.0,64.0,68.0,64.0,66.0,14.0,15.0,21.0,16.0,18.0,0.0
63.0,65.0,67.0,63.0,66.0,18.0,12.0,19.0,15.0,17.0,0.0
61.0,64.0,70.0,62.0,62.0,8.0,18.0,23.0,12.0,15.0,0.0
62.0,65.0,68.0,64.0,63.0,14.0,12.0,12.0,13.0,19.0,0.0
63.0,65.0,67.0,65.0,64.0,11.0,15.0,9.0,15.0,13.0,0.0
61.0,65.0,71.0,65.0,63.0,12.0,17.0,23.0,12.0,8.0,0.0
63.0,66.0,69.0,63.0,64.0,13.0,11.0,19.0,14.0,11.0,0.0
63.0,64.0,70.0,62.0,63.0,11.0,16.0,17.0,13.0,17.0,0.0
63.0,64.0,69.0,63.0,63.0,17.0,13.0,18.0,17.0,16.0,0.0
64.0,64.0,70.0,65.0,63.0,14.0,15.0,16.0,16.0,14.0,0.0
61.0,66.0,68.0,63.0,64.0,13.0,9.0,12.0,13.0,20.0,0.0
63.0,65.0,71.0,62.0,66.0,18.0,17.0,17.0,13.0,18.0,0.0
60.0,65.0,69.0,63.0,62.0,11.0,18.0,18.0,19.0,15.0,0.0
62.0,65.0,68.0,62.0,65.0,14.0,14.0,12.0,17.0,15.0,0.0
63.0,64.0,69.0,63.0,65.0,20.0,21.0,15.0,18.0,15.0,0.0
63.0,68.0,69.0,64.0,63.0,14.0,18.0,13.0,15.0,19.0,0.0
63.0,65.0,68.0,64.0,62.0,12.0,13.0,15.0,11.0,15.0,0.0
61.0,64.0,67.0,66.0,64.0,18.0,14.0,15.0,14.0,10.0,0.0
63.0,64.0,72.0,63.0,65.0,16.0,12.0,12.0,15.0,14.0,0.0
64.0,64.0,68.0,65.0,64.0,18.0,23.0,14.0,17.0,16.0,0.0
61.0,67.0,68.0,67.0,65.0,19.0,17.0,16.0,18.0,16.0,0.0
61.0,65.0,68.0,68.0,62.0,12.0,18.0,11.0,15.0,14.0,0.0
62.0,65.0,67.0,63.0,63.0,18.0,19.0,17.0,14.0,13.0,0.0
62.0,65.0,69.0,64.0,67.0,16.0,15.0,16.0,16.0,12.0,0.0
62.0,64.0,70.0,64.0,64.0,16.0,9.0,20.0,15.0,14.0,0.0
64.0,65.0,71.0,64.0,68.0,13.0,14.0,21.0,16.0,9.0,0.0
64.0,64.0,70.0,63.0,63.0,15.0,12.0,16.0,20.0,16.0,0.0
66.0,66.0,68.0,62.0,64.0,15.0,15.0,15.0,14.0,16.0,0.0
63.0,65.0,69.0,62.0,64.0,14.0,23.0,19.0,15.0,14.0,0.0
65.0,66.0,71.0,63.0,65.0,10.0,15.0,15.0,12.0,14.0,0.0
60.0,65.0,67.0,62.0,63.0,15.0,23.0,15.0,15.0,16.0,0.0
61.0,66.0,69.0,65.0,62.0,15.0,20.0,18.0,20.0,16.0,0.0
63.0,64.0,69.0,64.0,65.0,10.0,17.0,12.0,15.0,14.0,0.0
60.0,64.0,68.0,63.0,64.0,16.0,15.0,11.0,13.0,16.0,0.0
62.0,65.0,71.0,62.0,66.0,13.0,17.0,19.0,10.0,19.0,0.0
65.0,64.0,70.0,62.0,64.0,15.0,13.0,19.0,15.0,11.0,0.0
60.0,64.0,67.0,63.0,62.0,17.0,14.0,18.0,16.0,13.0,0.0
61.0,65.0,70.0,62.0,64.0,21.0,15.0,16.0,16.0,16.0,0.0
60.0,65.0,68.0,65.0,62.0,20.0,14.0,16.0,13.0,16.0,0.0
62.0,67.0,67.0,64.0,66.0,11.0,25.0,17.0,18.0,11.0,0.0
61.0,65.0,68.0,64.0,65.0,20.0,14.0,11.0,12.0,14.0,0.0
60.0,65.0,68.0,65.0,65.0,9.0,18.0,11.0,17.0,14.0,0.0
63.0,66.0,69.0,63.0,64.0,12.0,13.0,15.0,15.0,15.0,0.0
60.0,65.0,71.0,64.0,64.0,15.0,19.0,20.0,13.0,13.0,0.0
62.0,65.0,67.0,65.0,65.0,14.0,17.0,18.0,18.0,14.0,0.0
61.0,65.0,70.0,64.0,65.0,14.0,15.0,16.0,15.0,19.0,0.0
62.0,64.0,71.0,63.0,63.0,19.0,17.0,17.0,11.0,13.0,0.0
61.0,65.0,69.0,62.0,62.0,19.0,19.0,19.0,14.0,15.0,0.0
60.0,66.0,68.0,63.0,63.0,13.0,16.0,17.0,14.0,13.0,0.0
